filename, bus, car, motorbike, person, truck
320744372_1598711317229100_4537241792240711178_n_jpg.rf.004843faf08adda1c67b4d2d4181975a.jpg, 0, 0, 1, 0, 0
135870903_4229886843693174_5352052135890518216_n_jpg.rf.001ff45090152e1b85076f445b8d504c.jpg, 0, 0, 0, 0, 1
325202504_1163035241065642_8277079044813746818_n_jpg.rf.006e0525326508ceaa558d650e6e3ca3.jpg, 0, 0, 0, 1, 0
319506918_640148001193942_6036184183697167964_n_jpg.rf.00a02e79db17029b5de4e7115f33626c.jpg, 0, 1, 0, 0, 0
125450927_860436034763655_8695571676036397082_n_jpg.rf.00a76448e91b11da63cb84cb585b59bf.jpg, 0, 1, 0, 0, 0
320442806_416470363946455_913789474133940145_n_jpg.rf.009f1da014b00139ae6179652450b913.jpg, 0, 0, 1, 1, 0
322564390_560767808912497_1905795379968465123_n_jpg.rf.00cee08b7d94b5d64ae8c36e1c11378f.jpg, 0, 0, 0, 1, 0
293346605_1719863241684916_8435288759736120228_n_jpg.rf.017ddcbf351dad2ce0bf50255a26d38f.jpg, 0, 0, 0, 1, 0
DgL651vUEAAj1iB-2_jpg.rf.01bb44bd8146bbced312bf80e1525b58.jpg, 1, 1, 1, 1, 0
300559566_430615055755554_8744102362219342686_n-2_jpg.rf.018c7a77ec6655e69931ce4a5b6ac511.jpg, 1, 1, 0, 0, 0
314772535_140372995434573_3980722990476572141_n_jpg.rf.022cced751a358cdac82ea539a5b10ae.jpg, 0, 0, 0, 0, 1
318104292_5836494329743817_8804743048989150949_n_jpg.rf.01dffe2f7f4f1e899e21f5b6c4d29b71.jpg, 0, 0, 1, 0, 0
319364006_558841146059303_4417656249806618243_n_jpg.rf.01e3d18821f6b0e1675df1af8c2e56a4.jpg, 0, 0, 1, 0, 0
327769296_131956793095664_1639525610109783613_n_jpg.rf.021f7de0cbcc544a7292e049ed4df9ff.jpg, 0, 0, 0, 1, 0
320048512_537247941655642_7933664105353141819_n_jpg.rf.0231c9bac0f911a067b8a648f9199940.jpg, 0, 0, 1, 0, 0
P_20221003_131507_jpg.rf.0293ccf2b8bb6707568e15bba80312a2.jpg, 0, 1, 0, 0, 1
312594708_5729885993765192_5946900151459940311_n-2_jpg.rf.02bb24bebcfcda608c19e4ec8f751d55.jpg, 1, 0, 0, 0, 0
70851637_2726191967413496_4736693768721619109_n-2_jpg.rf.02cb5be4eee439c1d1c03767b4b8ab62.jpg, 1, 0, 0, 0, 0
320441648_1287637345424937_796211575264271121_n_jpg.rf.030a98528b0a7e805d9664b447fe7d12.jpg, 0, 0, 1, 0, 0
319912898_868760027493403_4890355481433774383_n_jpg.rf.02d3be9502412a0d29f2dd701fe5d826.jpg, 0, 0, 1, 0, 0
306954880_461159922421507_4673566881300046808_n_jpg.rf.02ccbdfe3edebe58189038461a4cf25d.jpg, 0, 0, 0, 1, 0
314659393_3302219826661230_5702621094272359784_n_jpg.rf.02cdd3d656cb95e2e66698aa0159cacd.jpg, 0, 1, 1, 1, 0
71013876_186358042392631_8094965722784433287_n_jpg.rf.033b814682c57e03944afcae926ba3c3.jpg, 0, 1, 0, 1, 0
315566551_867488777943565_6698170279304368601_n_jpg.rf.034f66c7bfb9e5c311706110311f9054.jpg, 0, 0, 0, 0, 1
IMG-20220326-WA0000_jpg.rf.03876d4ccfb928945e99ba6dd305cfa3.jpg, 0, 0, 0, 1, 0
